Glass,Code,K1,L1,K2,L2,K3,L3,A0,A1,A2,A3,A4,A5,ThermalExpansion1e-7m/K,Melt Frequency,Relative Price,Glass,,,,,,,,,,,,,,,,,,,,,
H-LaK10,651559,7.83174579E-01,2.73169490E-03,8.94315049E-01,1.69034325E-02,1.13896900E+00,1.11158589E+02,,,,,,,71,C,45 ,H-LaK10,,,,,,,,,,,,,,,,,,,,,
H-LaF10LA,788475,1.93178403E+00,9.97340769E-03,1.89897276E-01,3.68891042E-02,1.09736515E+00,7.72777489E+01,,,,,,,61,MA,45 ,H-LaF10LA,,,,,,,,,,,,,,,,,,,,,
H-ZF50,741278,1.38419227E+00,1.21210226E+02,2.16862697E-01,6.42534343E-02,1.69855074E+00,1.35195855E-02,,,,,,,95,B,46 ,H-ZF50,,,,,,,,,,,,,,,,,,,,,
H-QF1,548458,1.24414177E+00,8.67592204E-03,1.08792977E+00,1.24770880E+02,1.06583226E-01,4.73895753E-02,,,,,,,93,B,46 ,H-QF1,,,,,,,,,,,,,,,,,,,,,
H-ZF7LA,805255,1.65846092E+00,1.44874699E+02,2.98796445E-01,6.35424599E-02,1.81848340E+00,1.41908346E-02,,,,,,,90,MA,46 ,H-ZF7LA,,,,,,,,,,,,,,,,,,,,,
H-ZF7LAGT,805255,1.65846092E+00,1.44874699E+02,2.98796445E-01,6.35424599E-02,1.81848340E+00,1.41908346E-02,,,,,,,90,MA,46 ,H-ZF7LAGT,,,,,,,,,,,,,,,,,,,,,
H-ZF52,847238,4.09982615E-01,6.21421199E-02,2.37517176E+00,1.85055134E+02,1.83913582E+00,1.36093459E-02,,,,,,,88,MA,46 ,H-ZF52,,,,,,,,,,,,,,,,,,,,,
H-ZF52GT,847238,4.09982615E-01,6.21421199E-02,2.37517176E+00,1.85055134E+02,1.83913582E+00,1.36093459E-02,,,,,,,88,MA,46 ,H-ZF52GT,,,,,,,,,,,,,,,,,,,,,
H-ZF13,785257,1.73521591E+00,1.31087904E-02,3.16277446E-01,6.21421663E-02,2.16384634E+00,1.78845558E+02,,,,,,,86,MA,46 ,H-ZF13,,,,,,,,,,,,,,,,,,,,,
H-ZF13GT,785257,1.73521591E+00,1.31087904E-02,3.16277446E-01,6.21421663E-02,2.16384634E+00,1.78845558E+02,,,,,,,86,MA,46 ,H-ZF13GT,,,,,,,,,,,,,,,,,,,,,
H-F51,640345,1.19880199E+00,1.18703083E+02,1.46782039E-01,5.86919967E-02,1.46655148E+00,1.11709187E-02,,,,,,,84,D,46 ,H-F51,,,,,,,,,,,,,,,,,,,,,
H-ZF12,762266,3.23730379E-01,5.98308169E-02,1.65668629E+00,1.20542686E-02,2.12141520E+00,1.74187920E+02,,,,,,,84,A,46 ,H-ZF12,,,,,,,,,,,,,,,,,,,,,
QF6,532488,,,,,,,2.30448840E+00,-8.37823210E-03,1.44243420E-02,3.33743110E-04,-4.46574560E-06,1.33499290E-06,82,D,46 ,QF6,,,,,,,,,,,,,,,,,,,,,
H-LaK1,660574,9.64886701E-01,9.11939330E+01,4.68480585E-01,2.05810529E-02,1.23722796E+00,6.08509423E-03,,,,,,,77,D,46 ,H-LaK1,,,,,,,,,,,,,,,,,,,,,
H-ZLaF56B,806333,1.93771288E+00,1.22003756E-02,1.56440326E+00,1.22447532E+02,2.14505628E-01,5.78880425E-02,,,,,,,74,MA,46 ,H-ZLaF56B,,,,,,,,,,,,,,,,,,,,,
